LS1_DriftRatio	LS2_DriftRatio	LS3_DriftRatio	LS4_DriftRatio
0.0129408	0.0237418	0.0332182	0.0413019
0.0112153	0.0197534	0.0256866	0.0303176
0.0072188	0.0159525	0.0237952	0.0304792
0.0133227	0.0158269	0.0214366	0.0239408
0.0135623	0.0172512	0.0286706	0.0334174
0.0080393	0.0195576	0.0293363	0.0382687
0.0145498	0.0287519	0.0388821	0.0488633
0.0045516	0.0087635	0.0121603	0.0148097
0.0088862	0.0161637	0.0222156	0.0271183
0.0100712	0.0176007	0.0234464	0.0279896
0.0132679	0.0218741	0.0288218	0.0354558
0.0087497	0.0218557	0.0334481	0.0437115
0.0052377	0.0086268	0.0113227	0.0137875
0.0149504	0.0178740	0.0232562	0.0255817
0.0084693	0.0250927	0.0398253	0.0537701
0.0084689	0.0161875	0.0213332	0.0271220
0.0134083	0.0308671	0.0459515	0.0596741
0.0063379	0.0115865	0.0156467	0.0194098
0.0093588	0.0147892	0.0184864	0.0214905
0.0076632	0.0123212	0.0151761	0.0175802
0.0046362	0.0086101	0.0118388	0.0149020
0.0199238	0.0325542	0.0420269	0.0495428
0.0133976	0.0208903	0.0266960	0.0323032
0.0087974	0.0175948	0.0248087	0.0305563
0.0133158	0.0215053	0.0292573	0.0359152
0.0090772	0.0124710	0.0154966	0.0174592
0.0071765	0.0166655	0.0236825	0.0301414
0.0088038	0.0178904	0.0262903	0.0330749
0.0056675	0.0126379	0.0185008	0.0238426
0.0038291	0.0077949	0.0101197	0.0121710
0.0053933	0.0088091	0.0113259	0.0136631
0.0069692	0.0102704	0.0129114	0.0151855
0.0066216	0.0091047	0.0117717	0.0134271
0.0108337	0.0136401	0.0182738	0.0216022
0.0074991	0.0131385	0.0166181	0.0197977
0.0095522	0.0155285	0.0202801	0.0249827
0.0120669	0.0196343	0.0276618	0.0333886
0.0119621	0.0206170	0.0269499	0.0327198
0.0074729	0.0135821	0.0184912	0.0226914
0.0070042	0.0176244	0.0271371	0.0362913
0.0037528	0.0063115	0.0085291	0.0102349
0.0134887	0.0170396	0.0224300	0.0242694
0.0091161	0.0146559	0.0184426	0.0225798
0.0050597	0.0129505	0.0198173	0.0253588
0.0136374	0.0259817	0.0367584	0.0457324
0.0099958	0.0151569	0.0206146	0.0249748
0.0042223	0.0067556	0.0084445	0.0101334
0.0080048	0.0137416	0.0177440	0.0204122
0.0097147	0.0172396	0.0243266	0.0304579
0.0146465	0.0202799	0.0252822	0.0293832
0.0083871	0.0138685	0.0184253	0.0223218
0.0181986	0.0245513	0.0295961	0.0320624
0.0109978	0.0179964	0.0231203	0.0268071
0.0080105	0.0101244	0.0128503	0.0142410
0.0067382	0.0117918	0.0160031	0.0197466
0.0144924	0.0243736	0.0314550	0.0368897
0.0042019	0.0081827	0.0112788	0.0141538
0.0037203	0.0103823	0.0159196	0.0201590
0.0095740	0.0159566	0.0218833	0.0272021
0.0057343	0.0091518	0.0120479	0.0145965
0.0039868	0.0078003	0.0105737	0.0128272
0.0118366	0.0146870	0.0199048	0.0222722
0.0060354	0.0100307	0.0128359	0.0146210
0.0092346	0.0154391	0.0199843	0.0230505
0.0078842	0.0174632	0.0251632	0.0316474
0.0125848	0.0183300	0.0249781	0.0301762
0.0112957	0.0191017	0.0247954	0.0304893
0.0091461	0.0120007	0.0159621	0.0182924
0.0071056	0.0111416	0.0148365	0.0168830
0.0052594	0.0088131	0.0113717	0.0136461
0.0104003	0.0201006	0.0281008	0.0350011
0.0152470	0.0162294	0.0236607	0.0276753
0.0091736	0.0147261	0.0190715	0.0231755
0.0100046	0.0182198	0.0243202	0.0292819
0.0036802	0.0058270	0.0067470	0.0076671
0.0092840	0.0164838	0.0210311	0.0242521
0.0071494	0.0114177	0.0154726	0.0183537
0.0138484	0.0192109	0.0253101	0.0301717
0.0077557	0.0221353	0.0352153	0.0465344
0.0162319	0.0239750	0.0294812	0.0342992
0.0097645	0.0102022	0.0152528	0.0178791
0.0060683	0.0135905	0.0195324	0.0251583
0.0097309	0.0162022	0.0214271	0.0257892
0.0120707	0.0152592	0.0204974	0.0209529
0.0095306	0.0158414	0.0204136	0.0236333
0.0041034	0.0088907	0.0118543	0.0139060
0.0099895	0.0251386	0.0386959	0.0506614
0.0153861	0.0222481	0.0288544	0.0343524
0.0117565	0.0143329	0.0204613	0.0240882
0.0031295	0.0056331	0.0073022	0.0089712
0.0073829	0.0153710	0.0210595	0.0249325
0.0108241	0.0154630	0.0198208	0.0224917
0.0142537	0.0261651	0.0359333	0.0448544
0.0062777	0.0180185	0.0274591	0.0350786
0.0121263	0.0234301	0.0330654	0.0403271
0.0197773	0.0294580	0.0356347	0.0419302
0.0085169	0.0124660	0.0161297	0.0191273
0.0077730	0.0168863	0.0233574	0.0284501
0.0086075	0.0129486	0.0164664	0.0192358
0.0065571	0.0096500	0.0118769	0.0134852
0.0111713	0.0154701	0.0205629	0.0242868
0.0077620	0.0186287	0.0277705	0.0358776
0.0081160	0.0120340	0.0144595	0.0162319
0.0049636	0.0101755	0.0119127	0.0136500
0.0114200	0.0160320	0.0187406	0.0202047
0.0137349	0.0150490	0.0214925	0.0250111
0.0106352	0.0141901	0.0201149	0.0245883
0.0094885	0.0206999	0.0287227	0.0347656
